"Step","swa_coco_ltd_constraint_b005 - multiplier","swa_coco_ltd_constraint_b005 - multiplier__MIN","swa_coco_ltd_constraint_b005 - multiplier__MAX","swa_coco_ltd_constraint_b01 - multiplier","swa_coco_ltd_constraint_b01 - multiplier__MIN","swa_coco_ltd_constraint_b01 - multiplier__MAX","swa_coco_ltd_constraint_b03 - multiplier","swa_coco_ltd_constraint_b03 - multiplier__MIN","swa_coco_ltd_constraint_b03 - multiplier__MAX","swa_coco_ltd_constraint - multiplier","swa_coco_ltd_constraint - multiplier__MIN","swa_coco_ltd_constraint - multiplier__MAX"
"1300","41.41758346557617","41.41758346557617","41.41758346557617","18.82486915588379","18.82486915588379","18.82486915588379","3.9863040447235107","3.9863040447235107","3.9863040447235107","7.9081501960754395","7.9081501960754395","7.9081501960754395"
"1400","43.14853286743164","43.14853286743164","43.14853286743164","19.52225112915039","19.52225112915039","19.52225112915039","3.9714081287384033","3.9714081287384033","3.9714081287384033","8.072973251342773","8.072973251342773","8.072973251342773"
"1500","44.83718490600586","44.83718490600586","44.83718490600586","20.172229766845703","20.172229766845703","20.172229766845703","3.9442310333251953","3.9442310333251953","3.9442310333251953","8.220362663269043","8.220362663269043","8.220362663269043"
"1600","46.46965026855469","46.46965026855469","46.46965026855469","20.786579132080078","20.786579132080078","20.786579132080078","3.907557249069214","3.907557249069214","3.907557249069214","8.347809791564941","8.347809791564941","8.347809791564941"
"1700","48.10490417480469","48.10490417480469","48.10490417480469","21.37662124633789","21.37662124633789","21.37662124633789","3.8585422039031982","3.8585422039031982","3.8585422039031982","8.463505744934082","8.463505744934082","8.463505744934082"
"1800","49.70986557006836","49.70986557006836","49.70986557006836","21.94166374206543","21.94166374206543","21.94166374206543","3.8055131435394287","3.8055131435394287","3.8055131435394287","8.566298484802246","8.566298484802246","8.566298484802246"
"1900","51.256290435791016","51.256290435791016","51.256290435791016","22.482845306396484","22.482845306396484","22.482845306396484","3.7397115230560303","3.7397115230560303","3.7397115230560303","8.659101486206055","8.659101486206055","8.659101486206055"
"2000","52.760868072509766","52.760868072509766","52.760868072509766","23.013654708862305","23.013654708862305","23.013654708862305","3.6678953170776367","3.6678953170776367","3.6678953170776367","8.736522674560547","8.736522674560547","8.736522674560547"
"2100","54.22753143310547","54.22753143310547","54.22753143310547","23.52050018310547","23.52050018310547","23.52050018310547","3.5881528854370117","3.5881528854370117","3.5881528854370117","8.80592155456543","8.80592155456543","8.80592155456543"
"2200","55.655418395996094","55.655418395996094","55.655418395996094","24.012231826782227","24.012231826782227","24.012231826782227","3.5051722526550293","3.5051722526550293","3.5051722526550293","8.865096092224121","8.865096092224121","8.865096092224121"
"2300","57.05339431762695","57.05339431762695","57.05339431762695","24.495141983032227","24.495141983032227","24.495141983032227","3.412907123565674","3.412907123565674","3.412907123565674","8.919722557067871","8.919722557067871","8.919722557067871"
