"Step","coco_ltd_constraint_b03 - multiplier","coco_ltd_constraint_b03 - multiplier__MIN","coco_ltd_constraint_b03 - multiplier__MAX","coco_ltd_constraint_b01 - multiplier","coco_ltd_constraint_b01 - multiplier__MIN","coco_ltd_constraint_b01 - multiplier__MAX","coco_ltd_constraint - multiplier","coco_ltd_constraint - multiplier__MIN","coco_ltd_constraint - multiplier__MAX"
"1000","3.9772210121154785","3.9772210121154785","3.9772210121154785","16.75362777709961","16.75362777709961","16.75362777709961","7.348209381103516","7.348209381103516","7.348209381103516"
"1100","4.023638725280762","4.023638725280762","4.023638725280762","17.537195205688477","17.537195205688477","17.537195205688477","7.584498882293701","7.584498882293701","7.584498882293701"
"1200","4.049953460693359","4.049953460693359","4.049953460693359","18.268285751342773","18.268285751342773","18.268285751342773","7.789227485656738","7.789227485656738","7.789227485656738"
"1300","4.05667781829834","4.05667781829834","4.05667781829834","18.959989547729492","18.959989547729492","18.959989547729492","7.973135948181152","7.973135948181152","7.973135948181152"
"1400","4.049038887023926","4.049038887023926","4.049038887023926","19.618436813354492","19.618436813354492","19.618436813354492","8.133984565734863","8.133984565734863","8.133984565734863"
"1500","4.025508403778076","4.025508403778076","4.025508403778076","20.249906539916992","20.249906539916992","20.249906539916992","8.277389526367188","8.277389526367188","8.277389526367188"
"1600","3.992966413497925","3.992966413497925","3.992966413497925","20.851516723632812","20.851516723632812","20.851516723632812","8.4097900390625","8.4097900390625","8.4097900390625"
"1700","3.953117609024048","3.953117609024048","3.953117609024048","21.435258865356445","21.435258865356445","21.435258865356445","8.524312019348145","8.524312019348145","8.524312019348145"
"1800","3.9020678997039795","3.9020678997039795","3.9020678997039795","21.987825393676758","21.987825393676758","21.987825393676758","8.629267692565918","8.629267692565918","8.629267692565918"
"1900","3.841740131378174","3.841740131378174","3.841740131378174","22.523828506469727","22.523828506469727","22.523828506469727","8.716882705688477","8.716882705688477","8.716882705688477"
"2000","3.772244453430176","3.772244453430176","3.772244453430176","23.04969596862793","23.04969596862793","23.04969596862793","8.801979064941406","8.801979064941406","8.801979064941406"
"2100","3.6965179443359375","3.6965179443359375","3.6965179443359375","23.56024169921875","23.56024169921875","23.56024169921875","8.874495506286621","8.874495506286621","8.874495506286621"
"2200","3.6135988235473633","3.6135988235473633","3.6135988235473633","24.052560806274414","24.052560806274414","24.052560806274414","8.94087028503418","8.94087028503418","8.94087028503418"
"2300","3.5257036685943604","3.5257036685943604","3.5257036685943604","24.532129287719727","24.532129287719727","24.532129287719727","8.996975898742676","8.996975898742676","8.996975898742676"
"2400","3.4329755306243896","3.4329755306243896","3.4329755306243896","24.99979019165039","24.99979019165039","24.99979019165039","9.047073364257812","9.047073364257812","9.047073364257812"
"2500","3.332256317138672","3.332256317138672","3.332256317138672","25.449399948120117","25.449399948120117","25.449399948120117","9.08918571472168","9.08918571472168","9.08918571472168"
"2600","3.228912353515625","3.228912353515625","3.228912353515625","25.892780303955078","25.892780303955078","25.892780303955078","9.12404727935791","9.12404727935791","9.12404727935791"
"2700","3.1178138256073","3.1178138256073","3.1178138256073","26.32480239868164","26.32480239868164","26.32480239868164","9.146411895751953","9.146411895751953","9.146411895751953"
"2800","3.002952814102173","3.002952814102173","3.002952814102173","26.746339797973633","26.746339797973633","26.746339797973633","9.165887832641602","9.165887832641602","9.165887832641602"
"2900","2.885892152786255","2.885892152786255","2.885892152786255","27.150705337524414","27.150705337524414","27.150705337524414","9.179093360900879","9.179093360900879","9.179093360900879"
"3000","2.7655704021453857","2.7655704021453857","2.7655704021453857","27.54578971862793","27.54578971862793","27.54578971862793","9.186182022094727","9.186182022094727","9.186182022094727"
"3100","2.643700361251831","2.643700361251831","2.643700361251831","27.922285079956055","27.922285079956055","27.922285079956055","9.189974784851074","9.189974784851074","9.189974784851074"
"3200","2.5204007625579834","2.5204007625579834","2.5204007625579834","28.303361892700195","28.303361892700195","28.303361892700195","9.194326400756836","9.194326400756836","9.194326400756836"
"3300","2.3971176147460938","2.3971176147460938","2.3971176147460938","28.68018341064453","28.68018341064453","28.68018341064453","9.19369125366211","9.19369125366211","9.19369125366211"
"3400","2.271703004837036","2.271703004837036","2.271703004837036","29.0539608001709","29.0539608001709","29.0539608001709","9.189882278442383","9.189882278442383","9.189882278442383"
"3500","2.1420772075653076","2.1420772075653076","2.1420772075653076","29.431604385375977","29.431604385375977","29.431604385375977","9.184165954589844","9.184165954589844","9.184165954589844"
"3600","2.009845495223999","2.009845495223999","2.009845495223999","29.8206844329834","29.8206844329834","29.8206844329834","9.175384521484375","9.175384521484375","9.175384521484375"
"3700","1.877699375152588","1.877699375152588","1.877699375152588","30.200307846069336","30.200307846069336","30.200307846069336","9.167027473449707","9.167027473449707","9.167027473449707"
